"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"鉛","0.9181","-0.00","-0.09%","02:59"
"鈾","39.00","-1.00","-2.50%","12/01"
"黃金期貨","1210.20","10.80","0.90%","05:22"
"銀期貨","16.43","-0.03","-0.19%","05:20"
"銅期貨","286.85","-2.30","-0.80%","05:23"
"天然氣期","3.79","-0.08","-2.12%","05:23"
"布蘭特油期","69.97","-0.57","-0.81%","05:23"
"紐約輕原油","67.36","0.48","0.72%","05:23"
"燃油期貨","213.50","-1.94","-0.90%","05:24"
"玉米期貨","382.00","0.75","0.20%","03:39"
"小麥期貨","589.50","-13.75","-2.28%","03:15"
"可可豆期","2852.00","-7.00","-0.24%","02:30"
"黃豆期貨","998.25","2.50","0.25%","03:15"
"黃豆油期貨","31.94","0.66","2.11%","03:15"
"咖啡C期","183.65","0.25","0.14%","02:29"
"十一號糖","18.84","-0.11","-0.58%","03:00"
"二號棉期","59.64","0.26","0.44%","03:19"
"活牛期貨","166.90","-2.15","-1.27%","05:23"
"瘦豬期貨","86.75","-2.25","-2.53%","05:20"

"全球匯率"
"貨幣","匯率","漲跌","比例","台北"
"歐元/美元","1.2310","-0.0073","-0.59","05:51"
"英鎊/美元","1.5686","0.0049","0.31","05:51"
"美元/瑞士法郎","0.9776","0.0055","0.57","05:50"
"美元/瑞典克朗","7.5237","0.0000","0.00","05:51"
"美元/俄盧布","53.1753","-0.7957","-1.47","00:59"
"美元/匈牙利幣","249.5500","1.4700","0.59","05:51"
"美元/土耳其幣","2.2410","0.0100","0.45","05:51"
"美元/南非幣","11.2211","0.0975","0.88","05:51"
"美元/以色列幣","3.9780","0.0007","0.02","04:58"
"美元/日圓","119.7800","0.5700","0.48","05:51"
"美元/人民幣","6.1502","0.0002","0.00","16:29"
"美元/港幣","7.7528","-0.0020","-0.03","05:50"
"美元/台幣","31.0950","0.0420","0.14","15:59"
"美元/韓圜","1112.80","6.05","0.55","13:59"
"美元/泰銖","32.8800","0.0000","0.00","05:49"
"美元/新元","1.3123","0.0006","0.05","05:51"
"美元/菲披索","44.6800","-0.0420","-0.09","16:58"
"美元/馬來幣","3.4435","0.0175","0.51","16:59"
"美元/印尼盾","12301.00","29.70","0.24","16:59"
"美元/印度盧比","61.9125","0.0275","0.04","19:29"
"澳幣/美元","0.8405","-0.0040","-0.47","05:52"
"紐幣/美元","0.7759","-0.0047","-0.60","05:52"
"美元/加幣","1.1369","-0.0038","-0.33","05:49"
"美元/巴西幣","2.5532","-0.0161","-0.63","03:59"
"美元/墨披索","14.0998","-0.0039","-0.03","05:49"
"美元/阿根廷","8.5427","0.0036","0.04","01:59"
"美元/智利","610.3000","-3.7000","-0.60","00:29"

"MSCI指數MSCI產業指數"
"MSCI","指數","單日","本月","今年"
"世界指數","1739.729","0.22","0.01","4.74"
"中華指數","362.193","-0.94","-2.26","2.11"
"金龍指數","155.534","-0.28","-2.00","3.72"
"遠東指數","2891.809","-0.42","0.01","-2.74"
"太平洋","2344.885","-0.25","-0.22","-3.52"
"AC亞太","139.686","-0.24","-0.71","-1.18"
"歐洲","1671.469","-0.12","-0.57","-4.99"
"金磚四國","271.238","0.32","-2.12","-2.58"
"新興市場","985.895","0.14","-1.87","-1.68"
"新興亞洲","460.184","-0.24","-1.54","3.08"
"新興東歐","146.002","1.93","-1.36","-27.08"
"新興拉美","2909.903","1.21","-3.28","-9.09"
"歐非中東","295.945","0.50","-1.73","-9.88"
"美國指數","1979.760","0.40","0.28","11.95"
"澳洲指數","820.158","0.33","-1.00","-6.15"
"中國","63.933","-0.91","-2.08","1.32"
"印度","526.362","0.32","-0.31","29.23"
"俄羅斯","519.843","3.07","-2.36","-33.94"
"巴西","1994.943","1.89","-3.50","-10.06"
"台灣","312.660","1.38","-1.35","7.84"
"韓國","394.564","-0.39","-1.25","-10.84"
"泰國","424.174","-0.46","-0.56","21.33"
"馬來西亞","445.266","-2.08","-5.27","-12.22"
"印尼","827.400","-0.64","-0.37","24.33"
"土耳其","551.862","-0.44","-2.58","20.99"
"邊境市場","631.014","0.40","-1.08","6.13"
"南非","554.952","-0.22","-1.71","4.84"

"全球期貨指數"
"股市","指數","漲跌","比例","台北"
"道瓊期指","17,892.00","30.00","0.17","05:36"
"S&P 500","2,072.30","6.40","0.31","05:45"
"那斯達克100","4,312.00","6.50","0.15","05:42"
"多倫多60","863.80","8.30","0.96","05:19"
"墨西哥","43,101.00","92.00","0.21","05:00"
"巴西","52,431.00","681.00","1.30","04:00"
"道瓊歐洲50","3,248.00","12.00","0.37","05:03"
"英國","6,724.00","-10.50","-0.16","05:00"
"法國","4,391.00","10.50","0.24","04:59"
"德國","9,984.00","42.50","0.43","05:03"
"西班牙","10,883.20","135.90","1.25","03:00"
"米蘭MIB 30","19,978.00","184.00","0.92","00:39"
"阿姆斯特丹","430.00","1.40","0.33","04:59"
"斯德哥爾摩","1,464.75","14.50","0.99","00:44"
"瑞士市場","9,160.00","14.00","0.15","05:03"
"日經225","17,870.00","120.00","0.67","02:00"
"恆生指數","23,527.00","94.00","0.40","23:44"
"澳洲雪梨","5,347.00","11.00","0.21","04:59"
"滬深300","2,988.20","40.40","1.35","15:15"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"Clvrt社會責任","135.46","0.51","0.38%","17:09"
"ISE邪惡指數","203.43","-0.75","-0.37%","16:03"
"道瓊美國博奕","808.46","-10.51","-1.28%","12/03"
"snet全球博奕","5773.96","-3.78","-0.07%","close"
"NSDQ金融","3098.21","23.88","0.78%","16:05"
"NYSE金融","6772.90","26.05","0.39%","16:15"
"銀行","73.10","0.60","0.83%","12/03"
"保險","6644.14","38.87","0.59%","12/03"
"券商指數","180.48","2.73","1.53%","12/03"
"澳洲不動產","866.87","4.89","0.57%","12/03"
"日本不動產","3265.79","-0.67","-0.02%","12/03"
"東證REIT","1881.64","7.13","0.38%","12/03"
"恆生地產","30774.35","-95.06","-0.31%","close"
"星國不動產","1198.13","0.35","0.03%","close"
"亞洲REIT","180.80","-0.35","-0.19%","19:00"
"英國不動產","1796.72","-11.35","-0.63%","12/03"
"歐陸不動產","2358.45","4.45","0.19%","18:58"
"歐洲不動產","2355.21","-8.95","-0.38%","12/03"
"道瓊REITs","324.69","-0.33","-0.10%","12/03"

"MSCI (ACWI) 產業指數"
"MSCI","價格","漲跌","比例","今年"
"能源","247.93","2.19","0.89","-11.86"
"能源設備服務","291.29","3.34","1.16","-20.77"
