"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","當地"
"美元/新元","1.3638","-0.0098","-0.72","4:59"
"美元/菲披索","42.4200","0.0700","0.17","4:35"
"美元/馬來幣","3.1975","-0.0100","-0.31","4:35"
"美元/印尼盾","9256.0000","1.0000","0.01","4:14"
"美元/印度盧比","41.5900","-0.1750","-0.42","23:18"
"澳幣/美元","0.9436","-0.0000","-0.00","4:59"
"紐幣/美元","0.7694","-0.0020","-0.27","4:59"
"美元/加幣","1.0052","-0.0119","-1.17","4:59"
"美元/巴西幣","1.6850","-0.0118","-0.69","4:42"
"美元/墨披索","10.5630","-0.0195","-0.18","4:59"
"美元/阿根廷","3.1763","-0.0017","-0.05","4:19"
"美元/智利","469.9050","-2.6200","-0.55","4:46"

"MSCI 指數"
"MSCI","指數","單日","一個月","YTD"
"世界指數","1513.69","-0.91","0.31","-4.73"
"中華指數","375.81","-1.34","-2.43","-14.49"
"金龍指數","160.34","-1.03","-2.48","-8.46"
"遠東指數","3137.94","-1.79","-0.18","-3.34"
"太平洋","2583.96","-1.25","0.53","-3.14"
"AC亞太","148.92","-1.16","-0.73","-5.62"
"歐洲","1994.27","-1.25","-0.36","-5.99"
"金磚四國","416.07","-0.82","0.92","-6.07"
"新興市場","1188.61","-0.65","-0.25","-4.57"
"新興亞洲","458.38","-0.96","-3.46","-10.77"
"新興東歐","376.49","-0.10","7.30","-1.61"
"新興拉美","4828.40","-0.21","2.30","9.73"
"歐非中東","446.04","-0.44","4.43","-2.66"
"中國","72.36","-1.35","-3.20","-14.79"
"印度","508.07","-2.25","-6.23","-24.04"
"俄羅斯","1515.33","-0.18","8.68","-1.37"
"巴西","4332.74","-0.12","3.47","12.04"
"台灣","314.18","-0.38","-2.59","6.87"
"韓國","383.67","-0.95","-4.74","-12.31"
"泰國","277.79","-0.77","0.78","3.90"
"馬來西亞","373.11","1.20","-0.91","-8.68"
"印尼","619.90","0.13","3.97","-8.51"
"菲律賓","268.52","0.98","0.43","-26.10"
"土耳其","517.80","-0.71","-3.09","-31.06"
"以色列","267.69","-0.58","-1.57","1.39"
"埃及","1408.56","0.14","-2.92","9.70"
"南非","498.72","-1.11","3.52","-1.89"

